Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.1 (lin64) Build 5076996 Wed May 22 18:36:09 MDT 2024
| Date         : Fri Jul  5 02:30:31 2024
| Host         : binhkieudo running 64-bit Ubuntu 20.04.6 LTS
| Command      : report_utilization -hierarchical -file /home/binhkieudo/Workspace/NewFramework/framework/generated-src/framework.fpga.vc707.VC707woDDRHarness.SmallRocketMTOptimizedMemVC707Config/obj/report/utilization.txt
| Design       : VC707woDDRHarness
| Device       : xc7vx485tffg1761-2
| Speed File   : -2
| Design State : Physopt postRoute
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------+------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                           Instance                          |                                    Module                                    | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
+-------------------------------------------------------------+------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
| VC707woDDRHarness                                           |                                                                        (top) |      35228 |      33686 |    1522 |   20 | 21111 |     16 |     24 |         32 |
|   (VC707woDDRHarness)                                       |                                                                        (top) |          1 |          1 |       0 |    0 |   103 |      0 |      0 |          0 |
|   chiptop0                                                  |                                                                      ChipTop |      34939 |      33469 |    1450 |   20 | 20685 |     16 |     24 |         32 |
|     debug_reset_syncd_debug_reset_sync                      |                                      AsyncResetSynchronizerShiftReg_w1_d3_i0 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|       output_chain                                          |                            AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_339 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|     system                                                  |                                                                   DigitalTop |      34936 |      33466 |    1450 |   20 | 20679 |     16 |     24 |         32 |
|       (system)                                              |                                                                   DigitalTop |          9 |          9 |       0 |    0 |    13 |      0 |      0 |          0 |
|       clint                                                 |                                                                        CLINT |        199 |        199 |       0 |    0 |   324 |      0 |      0 |          0 |
|       dtm                                                   |                                                     DebugTransportModuleJTAG |        157 |        157 |       0 |    0 |   167 |      0 |      0 |          0 |
|         (dtm)                                               |                                                     DebugTransportModuleJTAG |         20 |         20 |       0 |    0 |    46 |      0 |      0 |          0 |
|         dmiAccessChain                                      |                                                         CaptureUpdateChain_1 |         13 |         13 |       0 |    0 |    41 |      0 |      0 |          0 |
|         dtmInfoChain                                        |                                                           CaptureUpdateChain |          9 |          9 |       0 |    0 |    32 |      0 |      0 |          0 |
|         tapIO_bypassChain                                   |                                                              JtagBypassChain |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|         tapIO_controllerInternal                            |                                                            JtagTapController |        114 |        114 |       0 |    0 |    15 |      0 |      0 |          0 |
|           (tapIO_controllerInternal)                        |                                                            JtagTapController |          3 |          3 |       0 |    0 |     6 |      0 |      0 |          0 |
|           irChain                                           |                                                         CaptureUpdateChain_2 |          3 |          3 |       0 |    0 |     5 |      0 |      0 |          0 |
|           stateMachine                                      |                                                             JtagStateMachine |        108 |        108 |       0 |    0 |     4 |      0 |      0 |          0 |
|         tapIO_idcodeChain                                   |                                                                 CaptureChain |          0 |          0 |       0 |    0 |    32 |      0 |      0 |          0 |
|       gpioClockDomainWrapper                                |                                                            ClockSinkDomain_3 |        179 |        163 |       0 |   16 |   304 |      0 |      0 |          0 |
|         gpio_0                                              |                                                                       TLGPIO |        179 |        163 |       0 |   16 |   304 |      0 |      0 |          0 |
|           (gpio_0)                                          |                                                                       TLGPIO |         63 |         63 |       0 |    0 |   224 |      0 |      0 |          0 |
|           ieReg                                             |                                                      AsyncResetRegVec_w16_i0 |          0 |          0 |       0 |    0 |    16 |      0 |      0 |          0 |
|           inSyncReg_inSyncReg                               |                                                  SynchronizerShiftReg_w16_d3 |         32 |         16 |       0 |   16 |    16 |      0 |      0 |          0 |
|             output_chain                                    |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_323 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_1                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_324 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_10                                 |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_325 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_11                                 |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_326 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_12                                 |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_327 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_13                                 |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_328 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_14                                 |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_329 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_15                                 |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_330 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_2                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_331 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_3                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_332 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_4                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_333 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_5                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_334 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_6                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_335 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_7                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_336 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_8                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_337 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_9                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_338 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|           intsource                                         |                                                     IntSyncCrossingSource_30 |         48 |         48 |       0 |    0 |    16 |      0 |      0 |          0 |
|             reg_0                                           |                                                  AsyncResetRegVec_w16_i0_322 |         48 |         48 |       0 |    0 |    16 |      0 |      0 |          0 |
|           oeReg                                             |                                           AsyncResetRegVec_w16_i0__xdcDup__1 |         16 |         16 |       0 |    0 |    16 |      0 |      0 |          0 |
|           pueReg                                            |                                                  AsyncResetRegVec_w16_i0_321 |         20 |         20 |       0 |    0 |    16 |      0 |      0 |          0 |
|       intsource                                             |                                                     IntSyncCrossingSource_17 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w2_i0_320 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |          0 |
|       intsource_1                                           |                                                      IntSyncCrossingSource_1 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_319 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_10                                          |                                                    IntSyncCrossingSource_1_4 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_318 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_11                                          |                                                    IntSyncCrossingSource_1_5 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_317 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_2                                           |                                                    IntSyncCrossingSource_1_6 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_316 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_3                                           |                                                   IntSyncCrossingSource_17_7 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w2_i0_315 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |          0 |
|       intsource_4                                           |                                                    IntSyncCrossingSource_1_8 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_314 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_5                                           |                                                    IntSyncCrossingSource_1_9 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_313 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_6                                           |                                                  IntSyncCrossingSource_17_10 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w2_i0_312 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|       intsource_7                                           |                                                   IntSyncCrossingSource_1_11 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_311 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_8                                           |                                                   IntSyncCrossingSource_1_12 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_310 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_9                                           |                                                  IntSyncCrossingSource_17_13 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|         reg_0                                               |                                                       AsyncResetRegVec_w2_i0 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|       plicDomainWrapper                                     |                                                              ClockSinkDomain |       1312 |       1312 |       0 |    0 |   382 |      0 |      0 |          0 |
|         (plicDomainWrapper)                                 |                                                              ClockSinkDomain |         26 |         26 |       0 |    0 |     0 |      0 |      0 |          0 |
|         plic                                                |                                                                       TLPLIC |       1286 |       1286 |       0 |    0 |   382 |      0 |      0 |          0 |
|           (plic)                                            |                                                                       TLPLIC |        822 |        822 |       0 |    0 |   304 |      0 |      0 |          0 |
|           gateways_gateway                                  |                                                                 LevelGateway |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_1                                |                                                             LevelGateway_293 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_10                               |                                                             LevelGateway_294 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_11                               |                                                             LevelGateway_295 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_12                               |                                                             LevelGateway_296 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_13                               |                                                             LevelGateway_297 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_14                               |                                                             LevelGateway_298 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_15                               |                                                             LevelGateway_299 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_16                               |                                                             LevelGateway_300 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_17                               |                                                             LevelGateway_301 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_2                                |                                                             LevelGateway_302 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_3                                |                                                             LevelGateway_303 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_4                                |                                                             LevelGateway_304 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_5                                |                                                             LevelGateway_305 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_6                                |                                                             LevelGateway_306 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_7                                |                                                             LevelGateway_307 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_8                                |                                                             LevelGateway_308 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_9                                |                                                             LevelGateway_309 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           out_back                                          |                                                                     Queue_31 |        450 |        450 |       0 |    0 |    60 |      0 |      0 |          0 |
|             (out_back)                                      |                                                                     Queue_31 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|             ram_ext                                         |                                                                ram_combMem_6 |        450 |        450 |       0 |    0 |    59 |      0 |      0 |          0 |
|       prci_ctrl_domain                                      |                                                            ClockSinkDomain_5 |         14 |         14 |       0 |    0 |     4 |      0 |      0 |          0 |
|         clock_gater                                         |                                                               TileClockGater |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|           regs_0                                            |                                                       AsyncResetRegVec_w1_i1 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         resetSynchronizer                                   |                                                  ClockGroupResetSynchronizer |         14 |         14 |       0 |    0 |     3 |      0 |      0 |          0 |
|           x1_member_allClocks_uncore_reset_catcher          |                                                     ResetCatchAndSync_d3_290 |         14 |         14 |       0 |    0 |     3 |      0 |      0 |          0 |
